Course ID,Date Added,Collection Language,Course Title,Category,Subcategory
2246268,2021-12-23,ES,"Construye Web Api con ASP Net Core y Visual Studio Code",Development,Web Development
2856870,2021-12-23,EN,MikroTik Routing Engineer with LABS,IT Operations,Network & Security
3947032,2021-12-23,EN,Business Continuity Management BCMS & ISO 22301 Masterclass,Leadership & Management,Strategy
2714316,2021-12-23,EN,abc of VMWARE NSX SD-WAN Velocloud,IT Operations,Network & Security
2462318,2021-12-23,EN,Enterprise Blockchain Architect Course	,IT Operations,Network & Security
4340052,2021-12-23,EN,Learn Recruitment & Acquisition Of Effective Sales Talent,Workplace & Human Resources,Human Resources Fundamentals
1650610,2021-12-23,EN,The Complete Junior to Senior Web Developer Roadmap (2022),Development,Web Development
3198332,2021-12-23,EN,Panel Discussion Masterclass: for moderators and panelists,Personal Development,Life Skills
4176526,2021-12-23,EN,Qt 6 Core Advanced with C++,Development,Programming Languages
4076376,2021-12-23,EN,Qt 6 Core Intermediate with C++,Development,Programming Languages
4373744,2021-12-23,EN,R Programming 2022:Ninja Course With 5 Real World Projects!,Data Science,Analytics
4214498,2021-12-22,EN,Python GUI Development with PyQt6 & Qt Designer,Development,Software Engineering
1673806,2021-12-22,EN,CompTIA Linux+ (LX0-103 and LX0-104) (Part 2 of 2)	,IT Operations,IT Certifications
4450216,2021-12-21,JP,【キャリアのセルフチェック→次のアクションへ！】生き方・働き方・学び方を考えるシンプルな自己分析（UB学習情報付）,Personal Development,Personal Growth
3205485,2021-12-21,EN,Writing SystemVerilog Testbenches for Newbie,IT Operations,Hardware
1749044,2021-12-21,ES,Entrenamiento Visual FoxPro 9 - Nivel Básico,Data Science,Database Administration
4256968,2021-12-20,EN,"Practical Statistics 2022 for Data Science with Python and R",Data Science,Statistical Analysis
3523460,2021-12-20,EN,The World of Computer Networking. Your CCNA starts here,IT Operations,Network & Security
1355526,2021-12-19,EN,"Ultimate Guide to Product Design: Design Thinking Approach",Design,User Experience Design
4261034,2021-12-19,EN,Building Real-Time REST APIs with Spring Boot - Blog App,Development,Software Engineering
3776662,2021-12-17,EN,Python engineering animations: Bring math & data to life,Development,Web Development
4402079,2021-12-17,EN,"GIVE: Leading with generosity, impact, vibrancy, and equity",Leadership & Management,Leadership
1638994,2021-12-17,EN,Strategic Planning Skills,Leadership & Management,Management
4013910,2021-12-17,EN,Learn Leadership Skills In The Workplace: 3 Levels Of Leader,Leadership & Management,Leadership
3395190,2021-12-17,EN,Milestone Xprotect VMS from scratch : Pre sales & technical,IT Operations,Network & Security
4373614,2021-12-17,EN,Learn C++ by Solving 75 Coding Challenges,Development,Programming Languages
4122272,2021-12-17,EN,Apache Cassandra Installation & Configuration,IT Operations,Software Testing
4270872,2021-12-17,EN,Complete FastAPI masterclass + Instagram clone project,Development,Web Development
2860280,2021-12-16,EN,"Speed Learn 25 Mins: Leadership, Project Management & Sales",Leadership & Management,Leadership
2861934,2021-12-16,EN,Data Science Project Planning,Data Science,Analytics
3213285,2021-12-16,EN,Learn Digital Signal Processing (DSP),Development,Development Tools
4258764,2021-12-16,PT,Node.js do Zero a Maestria com diversos Projetos,Development,Web Development
828670,2021-12-16,EN,Predictable Revenue Pipedrive Mastery Course,Sales,Sales Skills & Tools
3970920,2021-12-16,EN,The Complete Guide on Hyperledger Fabric v2.x on Kubernetes,IT Operations,IT Certifications
2142298,2021-12-16,EN,Complete Guide to Maschine Mk3,Personal Development,Arts & Creativity
2890790,2021-12-16,EN,Generate passive incomes: Create low content books on Amazon,Finance & Accounting,Finance Fundamentals
4308267,2021-12-15,EN,Reliability Engineering Statistics,Project Management & Operations,Operations Management
