Course ID,Date Added,Collection Language,Course Title,Category,Subcategory
4419806,2022-01-24,EN,"CASP+ (CAS-004) Complete Course & Full-Length Practice Exam
",IT Operations,IT Certifications
4339568,2022-01-24,EN,Configuring and Operating MS Azure Virtual Desktop (AZ-140),IT Operations,Cloud Certification
2694050,2022-01-24,EN,COBIT 2019 Foundation Practice Test (390+ Questions),IT Operations,IT Certifications
3663114,2022-01-24,EN,Mastering 4 critical SKILLS using Python	,IT Operations,IT Certifications
1242062,2022-01-24,EN,Calculus 1 Mastered,Data Science,Analytics
3269868,2022-01-24,EN,Data Warehousing and SQL End to End,IT Operations,Database Administration
353448,2022-01-23,EN,The Feng Shui Bagua: A Master Class with James Jay,Personal Development,Hobbies
1211386,2022-01-23,EN,Step by Step Mobile Phone Travel Videos,Design,Design Tools
40393,2022-01-22,EN,Feng Shui The Easiest Way,Personal Development,Hobbies
2347294,2022-01-22,EN,SAP MM Consignment and Pipeline Procurement,Sales,Customer Success & Service
740562,2022-01-22,EN,SEO 2022: Complete SEO Training + SEO for WordPress Websites,Marketing,Search Engine Optimization
4452642,2022-01-22,EN,"XPath, CSS Selector, Web,DOM, SelectorsHub & TestCase Studio",Development,Software Testing
4244194,2022-01-21,EN,Learn SAP® BTP,Development,Development Tools
3155154,2022-01-21,EN,JMP Training for Statistics & Data Visualization,IT Operations,Statistical Analysis
4406786,2022-01-21,EN,"MERN Stack Course 2022 - MongoDB, Express, React and NodeJS",Development,Web Development
3952556,2022-01-21,EN,Piping Design Engineering & Piping Isometrics Masterclass,IT Operations,Hardware
4200932,2022-01-21,EN,Unreal Engine 5 (UE5): Complete Beginners Course [OCT 2021],Development,Game Development
4149432,2022-01-21,EN,Unreal Engine 5 Beginner Blueprints: Make your first game!,Development,Game Development
3408682,2022-01-21,EN,Advanced C Programming Masterclass: Pointers & Memory in C,Development,Programming Languages
4442636,2022-01-21,EN,Introduction to Bitcoin & Crypto Assets,Finance & Accounting,Finance Fundamentals
3770560,2022-01-20,EN,Learn Tableau & Ace the Tableau Certified Data Analyst Exam,Data Science,Analytics
3988468,2022-01-20,EN,SOLIDWORKS Academy: A Comprehensive Course on SolidWorks.,Design,3D & Animation
4372184,2022-01-20,EN,Advanced DAX for Excel Power Pivot,Data Science,Analytics
4099146,2022-01-20,EN,Microservices Development Revolution with .Net5 and Dapr,Development,Development Tools
4413368,2022-01-19,EN,"Mastering of Python Script for System Administrator",Development,Development Tools
3842940,2022-01-19,EN,Embedded Linux using Yocto Part 4,IT Operations,Operating Systems & Servers
3653898,2022-01-19,EN,Embedded Linux using Yocto Part 3,IT Operations,Operating Systems & Servers
3476258,2022-01-19,EN,Embedded Linux Using Yocto Part 2,IT Operations,Operating Systems & Servers
2716980,2022-01-19,EN,"Next Level CSS Creative Hover & Animation Effects",Design,Web Design
2836726,2022-01-19,EN,Introduction to Fortigate Firewall,IT Operations,Network & Security
4448678,2022-01-19,EN,The Swift Arcade Professional iOS Development Course - UIKit,Development,Mobile Development
1582578,2022-01-19,EN,American Accent Made Easy - Mastering the American Accent,Personal Development,Language Learning
327666,2022-01-19,EN,Complete Beginner's Guide to Digital Art,Design,Graphic Design
4400536,2022-01-18,EN,Digital Marketing Course For Managers & Entrepreneurs,Marketing,Digital Marketing
4171800,2022-01-18,EN,SAP EWM - SAP Extended Warehouse Management,IT Operations,Operating Systems & Servers
4405234,2022-01-18,EN,WannaBeA SSCP,Cloud Computing,Cloud Certification
4324600,2022-01-18,EN,WannaBeA CCSP,Cloud Computing,Cloud Certification
1287612,2022-01-18,EN,End-To-End BDD Framework -Selenium|Java|Cucumber|GIT|Jenkins,Development,Software Testing
3701534,2022-01-18,EN,The Ultimate Swagger Tools Course: Build OpenAPI with Ease,Development,Software Engineering
4271522,2022-01-18,EN,Solidity & Ethereum in React (Next JS): The Complete Guide,Development,Database Design & Development
4430288,2022-01-18,EN,Full-Stack Data Scientist A-Z™ BootCamp,Data Science,Analytics
4329888,2022-01-18,EN,Modern GraphQL with Node - Complete Developers Guide,Development,Web Development
74772,2022-01-16,EN,"Value Centric Selling - How to Sell on Value, Not Price",Sales,Sales Skills & Tools
2613218,2022-01-18,EN,Cisco CCNP Enterprise ENWLSD 300-425 Course with Labs ENWLSD,IT Operations,Network & Security
2532450,2022-01-18,EN,"Cisco WLC Training ( Install , Configure , Maintain ) ENWLSI",IT Operations,Network & Security
4039556,2022-01-18,EN,DevOps Beginners to Advanced | Decoding DevOps with Projects,Development,Development Tools
4341378,2022-01-17,EN,Build Modern Android App with REST API and Ktor Server,Development,Mobile Development
2080118,2022-01-17,EN,Build Microservices with .NET & Amazon Web Services,Development,Software Engineering
4433738,2022-01-17,EN,Fortigate Firewall Administration Course,IT Operations,Network & Security
4136098,2022-01-17,EN,Playwright with Python for Web Automation Testing,Development,Software Testing
3404110,2022-01-16,EN,Apache Airflow: The Operators Guide,Development,Web Development
4165802,2022-01-15,EN,The Neuroscience of Sleep and Dreams,Personal Development,Personal Growth
